"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW"
"DAB_925",2279.73262792717,2142.55602915371,54.3284481181772,27.1729868262411,60.5613997336028,42.4554948829461,676.4396219172
"DAB_926",2636.4763176083,1905.6444365361,46.6432399617614,29.0090550961522,63.2102090408092,37.1812091948344,618.931151306208
"DAB_927",1887.87033793301,1354.8483101921,47.4500489496378,29.3816182658862,61.4209106937269,39.1323894928435,479.213970917256
"DAB_928",2132.67001930341,1855.44124547556,51.1630143954164,27.6684464576681,59.7091875585405,41.514509196492,570.034930071454
"DAB_929",1844.53600503205,1829.68848344547,58.362241088304,26.924794366345,58.7417326285667,43.9858890423527,580.928274550003
"DAB_930",2257.87424070617,1790.54119374464,47.1305117002159,27.3476545018366,58.3504119473177,43.3084397563108,561.312243260565
"DAB_931",1946.7677543749,1583.93036586856,50.639528834063,27.2833884260991,57.4989866492427,37.3324413698326,528.759466883359
"DAB_932",2069.51390650593,1938.88262905674,55.8150837429968,27.1551189049544,58.3522468209031,45.3893575188791,615.444728492387
"DAB_933",2139.2082847908,1669.42161038615,50.3878594707541,27.9041864486103,59.1460207839026,40.1748473817061,570.720564293616
"DAB_934",2091.04308637177,1735.87368128661,50.6247236287648,29.6053278626937,62.2251025640287,35.6070369102043,560.549448112745
"DAB_935",2167.02054814756,1490.16290281935,45.5001577738628,29.1320760984379,60.8027216979329,36.7727318436361,501.691800209461
"DAB_936",2212.64288990944,1308.14984697185,41.3202283648063,28.9736184558039,60.7764296558255,36.026800876156,435.949742143284
"DAB_937",1708.73162043155,1601.74952318511,55.2911661979901,27.3860174159787,56.0229017284672,41.2024108934542,515.053840006219
"DAB_938",2055.77272756642,1682.75569139082,52.5321088216562,28.905951363565,59.1243283988839,41.7182389958467,583.15001367718
"DAB_939",2346.9491176369,1754.51469933849,46.3571424330865,28.8418089811525,61.5094748244923,43.3760171571924,562.199885717421
"DAB_940",2226.02673447836,1544.90623281687,46.5017877683105,27.8370701113503,60.1012868929775,42.1928220957709,530.148693283833
"DAB_942",2208.54834393835,1451.54906738082,43.1086826637009,27.5075935470393,57.5693104189174,39.3910637524066,490.16149966811
"DAD_019",1930.33913893154,1469.16771499981,51.0962931115017,30.1325027633098,62.4443741684918,47.1682079643538,475.013659309627
"DAD_036",1732.73677587701,1528.59262990102,54.2830620026629,31.5255625523472,67.6228061712742,41.6712496775582,477.943875049772
"DAD_044",1741.18285391916,1493.82789725214,55.7283467390144,30.2342737659898,65.9870281631234,40.4742275142789,521.343367697209
"DRK_149",2721.7416622997,1865.37773254764,39.2117788544786,30.3211946094814,61.8486037521362,45.2503093844056,547.782510851553
"G4494",1795.03664166878,1439.11223403123,52.5464810552521,31.2609767459858,61.5910832635442,40.6433527167137,487.607915626269
"G4523",1776.57096626889,1235.95762482101,44.4748912319208,32.6497015137845,65.7402410244039,40.1816540118853,406.646466543902
"KAT_B1",1625.60025296333,1173.8729538099,46.481817458479,27.3228881117148,58.2895074580085,36.8630840962112,393.538383104693
"KAT_B9",2028.53778482464,1280.83395333489,43.7057750603265,27.515378938111,59.1827580769377,35.6252731185172,422.204187023592
"LPA_404",1456.55747400518,908.9287233136,47.7662420136038,32.8610971037345,66.0228157579885,37.5114356694385,338.983019246052
"LPA_435",2030.6891829324,1682.82970196575,48.3784377755314,29.0376709232506,64.8469289149927,41.8987243577304,521.740186079235
"LPA_440",1683.2978639196,1490.06903185778,48.9751347874057,30.6288635605136,66.372788996944,39.5575538200497,414.661472248035
"LPA_467",2298.11387871347,1194.8506101254,38.0134392843196,31.7382399176159,62.8189285100705,42.493593611096,404.259127100657
"LPA_471",2249.84272084105,1613.37374819352,48.5711873542687,30.0904606196829,64.2322819009962,48.495967961996,548.119512933488
"LPA_499",2387.2346397341,2260.65264424843,52.9309228047893,31.1200671156587,64.0339786227084,41.1852106430855,702.346908797153
"LPA_512",2341.48970322292,1605.24971711396,44.2769344177525,31.4731247728972,62.4456066450568,45.0824230419967,516.438749482258
"LPA_530",1987.90677193519,1499.71323810398,48.1260252287809,27.4780474819682,55.88287241809,38.4513531849965,512.839965485595
"LPA_546",2196.97669661073,1766.73939173757,50.6875951680076,31.3128963088317,63.6701709638452,51.6943386187866,582.4538770167
"LPA_551",1890.86234066339,1141.80500132276,42.5411817520825,34.3010864864582,68.829481000913,43.423793800214,337.417321168543
"LPA_610",2390.93120455042,1849.66900744405,49.0593731880109,30.8423420026814,64.0795480877202,44.0427144977825,591.08805432411
"LPA_643",2286.891319409,1661.52895576212,45.6521800610625,32.4678314710933,67.8462152637991,40.5721847928397,539.251664510964
"LPA_687",1732.31923958792,1088.9931528351,41.4251497197399,31.8777556928703,63.0150453750889,39.233235236035,382.087110556389
"LPA_714",2417.14499040872,1637.67814682865,46.8368596528776,33.4481086016576,65.2919009699955,47.3528212539755,506.78289131632
"LPA_732",2279.02330042645,1922.02653185061,51.1235552609221,30.1584279031541,64.7183586794223,45.7054470400548,596.565483348026
"LPA_736",1937.02788226307,1684.12528550731,50.8647335557145,29.5952080770392,64.0887971273054,45.2787345894678,533.367207241949
"LPA_760",1781.58898499108,1535.24550910837,54.6010897455797,31.9988741090293,66.0671567718814,39.1821459601767,495.304758296034
"LYAMUNGO_85",1594.29306867959,1204.26611214107,50.0086252998632,34.8250937182786,69.240648444715,38.181445490019,409.395778694171
"MAB_484",2128.48576621887,2111.47964631231,58.0804590392147,37.0352128238168,67.5619238401198,26.6516724179587,657.85210769995
"MAZ_013",1952.17078409057,1302.23387339229,43.5876238237244,29.7174248819908,63.0473481071905,35.7158461283995,457.269658371698
"MAZ_021",1650.4726604802,1263.66334829346,50.8217852428753,30.2009837209154,58.9423068181925,34.2459708228124,449.552373731362
"MAZ_026",1993.48482890639,1292.43099942818,44.3398842942482,30.5073667721972,69.3104879021199,39.7998887080318,464.877002515765
"MAZ_032",1892.80982178687,1094.76029899601,43.1446160299872,31.6997751619537,67.5556610626732,41.9828287995515,395.83833730443
